profile_id,reasoning,representation,operation,execution,conflict,expected_rule,expected_label,expected_action,evidence_ids,evidence_count,uncertainty,teacher_status,applied,data_origin,participant_data
P001,pass,pass,pass,pass,false,R5,no_observed_barrier,Offer a teacher-selected transfer task,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P002,pass,pass,pass,fail,false,R4,implementation,"Inspect wiring, calibration, timing and tests","[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P003,pass,pass,pass,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P004,pass,pass,fail,pass,false,R3,instrumental,Provide a tool-navigation worked example,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P005,pass,pass,fail,fail,false,R3,instrumental,Provide a tool-navigation worked example,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P006,pass,pass,fail,unknown,false,R3,instrumental,Provide a tool-navigation worked example,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P007,pass,pass,unknown,pass,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P008,pass,pass,unknown,fail,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P009,pass,pass,unknown,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P010,pass,fail,pass,pass,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P011,pass,fail,pass,fail,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P012,pass,fail,pass,unknown,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P013,pass,fail,fail,pass,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P014,pass,fail,fail,fail,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P015,pass,fail,fail,unknown,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P016,pass,fail,unknown,pass,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P017,pass,fail,unknown,fail,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P018,pass,fail,unknown,unknown,false,R2,representational,Map the explained procedure to blocks or a diagram,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P019,pass,unknown,pass,pass,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P020,pass,unknown,pass,fail,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P021,pass,unknown,pass,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P022,pass,unknown,fail,pass,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P023,pass,unknown,fail,fail,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P024,pass,unknown,fail,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P025,pass,unknown,unknown,pass,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P026,pass,unknown,unknown,fail,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P027,pass,unknown,unknown,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P028,fail,pass,pass,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P029,fail,pass,pass,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P030,fail,pass,pass,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P031,fail,pass,fail,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P032,fail,pass,fail,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P033,fail,pass,fail,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P034,fail,pass,unknown,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P035,fail,pass,unknown,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P036,fail,pass,unknown,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P037,fail,fail,pass,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P038,fail,fail,pass,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P039,fail,fail,pass,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P040,fail,fail,fail,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P041,fail,fail,fail,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P042,fail,fail,fail,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P043,fail,fail,unknown,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P044,fail,fail,unknown,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P045,fail,fail,unknown,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P046,fail,unknown,pass,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P047,fail,unknown,pass,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P048,fail,unknown,pass,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P049,fail,unknown,fail,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P050,fail,unknown,fail,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P051,fail,unknown,fail,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P052,fail,unknown,unknown,pass,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P053,fail,unknown,unknown,fail,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P054,fail,unknown,unknown,unknown,false,R1,conceptual,Request an unplugged tracing explanation,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P055,unknown,pass,pass,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
